차수,경위,사육두수,신고일,확진일,X,Y,px,py
"50",신고,"23","45225","45226",127.025033500000006,36.204266199999999,957302.9156865414,1800894.4612884885
"51",신고,"42","45225","45226",126.968517500000004,36.812836300000001,952594.9293509691,1868426.7481520721
"52",신고,"80","45226","45226",127.171872699999994,37.806064300000003,971115.5585397253,1978533.4868595011
"53",신고,"56","45226","45227",126.994716100000005,37.130851800000002,955118.8241639276,1903692.7885192707
"54",신고,"49","45226","45227",126.416051999999993,36.682967400000003,903153.9644476168,1854436.1310061279
"55",신고,"29","45226","45227",128.119304800000009,38.272506000000000,1054171.7350654029,2030417.1554512256
"56",신고,"5","45226","45227",127.560471399999997,37.392405199999999,1005352.7317747024,1932591.2947693153
"57",신고,"4","45226","45227",126.759600800000001,37.366271699999999,934439.0424000106,1929947.4152108452
"58",신고,"154","45226","45227",126.872164600000005,36.738815600000002,943946.8648435097,1860267.6615777256
"59",신고,"21","45227","45227",128.527206799999988,38.307501600000002,1089809.2542476989,2034617.9065514167
"60",신고,"31","45227","45227",127.019584300000005,38.079469899999999,957866.2236078774,2008926.3566134800
"61",신고,"134","45227","45228",126.400622100000007,35.002787900000001,899681.2272786743,1668089.3271851889
"62",신고,"35","45228","45229",126.613971800000002,36.971764299999997,921134.6764817912,1886291.8380954447
"63",신고,"50","45228","45229",126.501780900000000,35.493875199999998,909460.0383583158,1722457.1244310520
"64",신고,"13","45228","45229",127.290096300000002,38.209361700000002,981623.5224368722,2023250.3512450373
"65",신고,"29","45228","45229",128.688080399999990,35.343392999999999,1107962.0138927593,1705957.6721893325
"66",신고,"25","45228","45229",127.225563699999995,37.775704699999999,975832.0017209506,1975149.9017624883
"67",신고,"111","45228","45229",127.214153800000005,38.009024799999999,974906.5178620546,2001039.8664599648
"68",신고,"200","45229","45230",126.486959499999998,37.694493799999996,910688.8563667100,1966587.1340888536
"69",신고,"276","45229","45230",126.661670599999994,35.550995700000001,924016.5066190382,1728657.3755410432
"70",신고,"44","45230","45230",126.084661800000006,35.081464400000002,870971.6877001126,1677178.2421367785
"71",신고,"9","45230","45231",126.786882500000004,36.828216500000003,936406.6895436110,1870238.3507178235
"72",신고,"6","45230","45231",126.400249099999996,36.729658600000000,901801.4258960125,1859631.8319513889
"73",신고,"4","45230","45231",126.486142500000000,36.651105600000001,909379.0883394940,1850833.1404423204
"74",신고,"48","45230","45231",126.436770199999998,36.703507199999997,905030.3754948936,1856693.9497222733
"75",신고,"17","45231","45232",126.419778100000002,36.886961900000003,903742.4038275244,1877062.4751955152
"76",예찰,"9","45232","45233",126.437267500000004,36.702711800000003,905073.8184355962,1856605.2208401081
"77",신고,"85","45233","45233",126.411131400000002,37.690108700000003,903997.8873360216,1966175.5896108921
"78",예찰,"12","45233","45234",126.793679900000001,36.860050399999999,937038.9725970826,1873765.2708958241
"79",예찰,"20","45235","45236",126.565119499999994,36.919704600000003,916729.5854799742,1880558.0847858533
"80",신고,"13","45236","45236",127.788601600000007,37.009558100000000,1025675.4509491130,1890156.5871878669
"81",신고,"66","45236","45236",128.414528499999989,38.386642600000002,1079870.5495980585,2043296.0549595661
"82",신고,"158","45236","45237",126.452659699999998,36.973447700000001,906777.9360894907,1886624.3048013172
"83",예찰,"23","45236","45237",126.567953799999998,36.915773999999999,916977.7836247146,1880119.5694656176
"84",신고,"55","45236","45237",126.384743799999995,36.664984199999999,900333.4171007418,1852473.2716987033
"85",신고,"124","45237","45238",126.972395000000006,36.339830100000000,952652.8640076426,1815955.8113318167
"86",신고,"9","45238","45239",126.426118900000006,36.748359000000001,904134.7225849814,1861680.1333554275
"87",신고,"30","45238","45239",126.473065300000002,35.496561499999999,906858.5011988058,1722781.7943276500
"88",신고,"5","45239","45240",126.428224000000000,36.724750899999997,904293.3448738951,1859059.0892629961
"89",신고,"47","45240","45241",127.792028400000007,37.005598999999997,1025981.6644837072,1889718.3190672479
"90",신고,"8","45240","45241",126.802587200000005,36.713687700000001,937714.6214588432,1857523.1862165013
"91",신고,"93","45240","45241",126.507730199999997,35.492191400000003,909997.7885312918,1722264.9300086189
"92",신고,"127","45242","45243",126.453873599999994,35.460536099999999,905075.4319327862,1718804.4661750610
"93",신고,"78","45242","45243",126.522266000000002,35.513857000000002,911340.0930363768,1724654.7162036416
"94",신고,"28","45243","45244",128.155854699999992,36.091004200000000,1059043.0350742037,1788426.2740489156
"95",신고,"43","45243","45244",127.473910599999996,36.723927799999998,997670.3023787295,1858432.7942097599
"96",예찰,"8","45243","45244",126.567963700000007,35.423457999999997,915389.3899478088,1714588.4737257112
"97",예찰,"30","45243","45244",126.518385400000000,35.513277700000003,910987.5534794152,1724593.9610847840
"98",예찰,"38","45244","45245",126.493075000000005,35.486772700000003,908662.3354881336,1721677.4038453677
"99",예찰,"4","45245","45246",126.595472799999996,35.419472900000002,917882.7018003294,1714123.2910031506
"100",신고,"109","45245","45246",126.970915599999998,36.328660200000002,952513.3228775702,1814717.5464264080
"101",신고,"147","45245","45246",126.593082100000004,35.452469000000001,917699.2445828306,1717784.8372943250
"102",신고,"48","45246","45247",126.885789099999997,36.290379399999999,944845.9648677700,1810516.5136430056
"103",신고,"50","45246","45247",127.273455900000002,35.687749699999998,979501.9163296986,1743524.8537025964
"104",신고,"21","45247","45248",127.460078199999998,36.721685000000001,996435.0108484072,1858184.4301979488
"105",신고,"10","45247","45248",126.488530299999994,35.495251099999997,908259.7127512386,1722621.9666320065
"106",신고,"32","45248","45249",128.421305700000005,38.386771600000003,1080462.3066802165,2043316.2580456124
"107",신고,"67","45250","45250",128.504140400000011,36.626684200000000,1089780.6856909187,1848114.9076219923
